date,horse,course,time,odds,decimal_odds,stake,potential_returns,bet_type,result,position,returns,profit
2026-02-03,Place De La Nation (FR),Fairyhouse,14:25,1/2,1.5,5.0,7.5,Win,Lost,2.0,0.0,-5.0
2026-02-03,Future Bucks (FR),Carlisle,14:35,11/5,3.2,6.0,19.2,Win,Pending,,0.0,0.0
2026-02-03,Folly Master,Fairyhouse,15:30,6/4,2.5,10.0,19.0,Each Way,Pending,,0.0,0.0
2026-02-03,Brave Kingdom (FR),Taunton,15:45,11/4,3.75,5.0,18.75,Win,Pending,,0.0,0.0
2026-02-03,Super Citizen,Carlisle,16:04,15/2,8.5,5.0,42.5,Win,Pending,,0.0,0.0
2026-02-03,Jimmy Gatz (FR),Carlisle,16:34,9/4,3.25,5.0,16.25,Win,Pending,,0.0,0.0
2026-02-03,Eupator (FR),Wolverhampton,19:30,EVS,2.0,4.0,8.0,Win,Pending,,0.0,0.0
2026-02-04,Castan,Newcastle,19:00,SP,0.0,6.0,0.0,Win,Pending,,0.0,0.0
2026-02-03,Low Style + Future Bucks (FR),Fairyhouse/Carlisle,15:30/14:35,8/1 + 9/4,29.25,10.0,292.5,Double,Pending,,0.0,0.0
